message_id,recommended_product_id,was_purchased,click_through
M001,P008,False,False
M001,P060,False,False
M001,P008,False,True
M001,P008,False,True
M002,P063,False,False
M002,P072,False,True
M002,P019,False,False
M003,P059,False,False
M003,P055,False,True
M003,P019,False,False
M003,P016,False,False
M004,P078,False,False
M004,P076,False,True
M004,P008,False,False
M005,P066,False,True
M005,P008,False,False
M005,P060,False,False
M006,P004,False,False
M006,P008,False,True
M006,P037,False,False
M007,P023,False,False
M007,P019,False,True
M007,P021,False,False
M007,P019,False,False
M008,P067,False,True
M008,P063,False,True
M008,P028,False,False
M008,P019,False,False
M009,P065,False,False
M009,P063,False,False
M009,P050,False,False
M010,P042,False,False
M010,P026,False,False
M010,P023,False,False
M011,P008,False,False
M011,P006,False,True
M011,P063,False,True
M011,P008,False,False
M012,P056,False,False
M012,P003,False,False
M012,P019,False,False
M012,P002,False,False
M013,P029,False,False
M013,P011,False,False
M013,P008,False,False
M013,P068,False,False
M014,P078,False,False
M014,P047,False,False
M014,P022,False,False
M014,P009,False,True
M015,P006,False,False
M015,P026,False,True
M015,P037,False,False
M015,P019,False,True
M016,P047,False,False
M016,P067,False,False
M016,P003,False,True
M016,P019,False,True
M017,P080,False,False
M017,P019,False,False
M017,P030,False,False
M018,P010,False,False
M018,P025,False,True
M018,P008,False,True
M018,P008,False,True
M019,P008,False,False
M019,P079,False,True
M019,P042,False,True
M020,P078,False,False
M020,P008,False,True
M020,P009,False,False
M021,P050,False,False
M021,P068,False,True
M021,P078,False,True
M022,P025,False,False
M022,P008,False,False
M022,P008,False,False
M022,P035,False,False
M023,P008,False,False
M023,P007,False,True
M023,P055,False,True
M023,P051,False,False
M024,P030,False,False
M024,P010,False,False
M024,P009,False,False
M025,P057,False,True
M025,P008,False,False
M025,P021,False,False
M026,P019,False,True
M026,P049,False,True
M026,P080,False,False
M026,P031,False,False
M027,P019,False,False
M027,P019,False,False
M027,P067,False,False
M027,P039,False,False
M028,P008,False,False
M028,P034,False,True
M028,P008,False,True
M029,P032,False,False
M029,P044,False,True
M029,P016,False,False
M029,P078,False,True
M030,P008,False,True
M030,P063,False,True
M030,P019,False,True
M031,P077,False,True
M031,P008,False,True
M031,P063,False,True
M031,P014,False,False
M032,P019,False,False
M032,P008,False,True
M032,P055,False,False
M033,P038,False,True
M033,P008,False,True
M033,P008,False,False
M034,P010,False,False
M034,P039,False,False
M034,P030,False,True
M034,P054,False,True
M035,P038,False,False
M035,P017,False,False
M035,P072,False,False
M036,P008,False,False
M036,P004,False,False
M036,P019,False,False
M036,P026,False,True
M037,P003,False,False
M037,P029,False,True
M037,P076,False,False
M037,P008,False,True
M038,P023,False,False
M038,P063,False,True
M038,P059,False,False
M038,P071,False,False
M039,P060,False,False
M039,P016,False,True
M039,P067,False,True
M040,P019,False,False
M040,P028,False,True
M040,P014,False,False
M041,P059,False,True
M041,P007,False,True
M041,P080,False,False
M041,P008,False,True
M042,P009,False,True
M042,P005,False,False
M042,P033,False,True
M043,P043,False,False
M043,P073,False,False
M043,P008,False,False
M044,P011,False,True
M044,P019,False,True
M044,P038,False,False
M045,P047,False,True
M045,P058,False,True
M045,P008,False,True
M045,P063,False,False
M046,P047,False,True
M046,P014,False,True
M046,P011,False,False
M047,P017,False,True
M047,P008,False,True
M047,P041,False,True
M048,P019,False,True
M048,P048,False,False
M048,P075,False,True
M048,P019,False,False
M049,P048,False,True
M049,P052,False,False
M049,P035,False,True
M050,P008,False,False
M050,P003,False,False
M050,P019,False,False
M051,P007,False,True
M051,P008,False,True
M051,P008,False,False
M052,P003,False,False
M052,P009,False,True
M052,P067,False,False
M052,P053,False,False
M053,P008,False,True
M053,P008,False,False
M053,P019,False,False
M054,P034,False,False
M054,P014,False,False
M054,P038,False,False
M055,P018,False,False
M055,P008,False,False
M055,P019,False,False
M056,P037,False,False
M056,P008,False,False
M056,P009,False,False
M057,P033,False,True
M057,P029,False,False
M057,P019,False,True
M057,P072,False,False
M058,P047,False,False
M058,P048,False,False
M058,P019,False,False
M058,P035,False,False
M059,P019,False,True
M059,P063,False,True
M059,P060,False,True
M060,P019,False,False
M060,P041,False,False
M060,P008,False,True
M060,P053,False,False
M061,P033,False,False
M061,P008,False,False
M061,P047,False,True
M061,P008,False,True
M062,P018,False,True
M062,P019,False,False
M062,P059,False,False
M063,P079,False,False
M063,P043,False,False
M063,P037,False,False
M063,P063,False,False
M064,P070,False,False
M064,P008,False,False
M064,P014,False,False
M065,P063,False,False
M065,P014,False,True
M065,P004,False,True
M066,P054,False,True
M066,P003,False,True
M066,P006,False,True
M066,P019,False,True
M067,P019,False,True
M067,P042,False,True
M067,P019,False,True
M067,P066,False,False
M068,P018,False,False
M068,P042,False,False
M068,P014,False,True
M068,P008,False,False
M069,P019,False,False
M069,P039,False,False
M069,P019,False,False
M069,P053,False,False
M070,P008,False,False
M070,P069,False,False
M070,P008,False,False
M071,P008,False,True
M071,P023,False,False
M071,P072,False,False
M071,P008,False,False
M072,P051,False,True
M072,P063,False,False
M072,P058,False,False
M073,P048,False,False
M073,P028,False,True
M073,P019,False,False
M073,P070,False,False
M074,P010,False,True
M074,P065,False,True
M074,P006,False,True
M075,P067,False,False
M075,P078,False,False
M075,P004,False,False
M076,P019,False,False
M076,P019,False,False
M076,P008,False,True
M076,P041,False,True
M077,P008,False,False
M077,P033,False,True
M077,P045,False,True
M078,P058,False,True
M078,P048,False,False
M078,P025,False,False
M079,P003,False,False
M079,P036,False,False
M079,P032,False,False
M079,P008,False,False
M080,P041,False,False
M080,P019,False,False
M080,P009,False,True
M080,P019,False,True
M081,P019,False,False
M081,P042,False,True
M081,P057,False,False
M081,P008,False,False
M082,P008,False,False
M082,P012,False,False
M082,P020,False,False
M083,P053,False,False
M083,P067,False,False
M083,P022,False,True
M084,P056,False,False
M084,P068,False,True
M084,P008,False,True
M085,P033,False,False
M085,P014,False,False
M085,P016,False,True
M086,P008,False,False
M086,P020,False,False
M086,P019,False,False
M087,P027,False,True
M087,P074,False,True
M087,P050,False,True
M088,P045,False,False
M088,P040,False,False
M088,P047,False,False
M089,P056,False,False
M089,P034,False,False
M089,P061,False,False
M089,P063,False,True
M090,P024,False,False
M090,P068,False,False
M090,P024,False,False
M090,P026,False,False
M091,P048,False,True
M091,P059,False,False
M091,P048,False,True
M092,P075,False,True
M092,P067,False,False
M092,P019,False,False
M092,P013,False,True
M093,P009,False,False
M093,P071,False,False
M093,P065,False,True
M094,P008,False,False
M094,P008,False,False
M094,P014,False,True
M094,P016,False,False
M095,P019,False,False
M095,P026,False,False
M095,P018,False,True
M096,P047,False,True
M096,P008,False,True
M096,P041,False,True
M097,P015,False,True
M097,P075,False,True
M097,P015,False,False
M097,P009,False,False
M098,P003,False,False
M098,P079,False,False
M098,P053,False,False
M098,P013,False,False
M099,P072,False,False
M099,P047,False,False
M099,P045,False,False
M100,P053,False,False
M100,P014,False,False
M100,P031,False,False
M101,P032,False,False
M101,P039,False,True
M101,P067,False,False
M102,P008,False,True
M102,P033,False,False
M102,P059,False,False
M103,P019,False,False
M103,P078,False,True
M103,P048,False,False
M103,P076,False,False
M104,P023,False,True
M104,P009,False,True
M104,P008,False,True
M104,P046,False,False
M105,P040,False,False
M105,P008,False,False
M105,P008,False,True
M106,P023,False,True
M106,P033,False,False
M106,P008,False,True
M107,P017,False,False
M107,P069,False,True
M107,P049,False,True
M108,P079,False,True
M108,P067,False,True
M108,P019,False,False
M108,P020,False,False
M109,P061,False,False
M109,P067,False,True
M109,P019,False,True
M110,P031,False,False
M110,P063,False,False
M110,P058,False,False
M110,P060,False,True
M111,P019,False,True
M111,P008,False,False
M111,P072,False,True
M111,P019,False,True
M112,P046,False,True
M112,P032,False,True
M112,P008,False,True
M113,P068,False,False
M113,P042,False,True
M113,P017,False,False
M114,P060,False,False
M114,P002,False,False
M114,P019,False,True
M115,P009,False,False
M115,P003,False,False
M115,P034,False,False
M115,P069,False,False
M116,P035,False,True
M116,P051,False,False
M116,P011,False,True
M117,P008,False,False
M117,P030,False,False
M117,P057,False,True
M117,P002,False,False
M118,P059,False,False
M118,P059,False,True
M118,P067,False,False
M119,P075,False,False
M119,P050,False,False
M119,P014,False,False
M119,P048,False,False
M120,P071,False,False
M120,P052,False,False
M120,P016,False,False
M121,P072,False,False
M121,P056,False,False
M121,P019,False,True
M121,P015,False,False
M122,P059,False,False
M122,P050,False,False
M122,P019,False,False
M123,P019,False,False
