product_id,name,category,price,avg_rating,stock_quantity,description
P001,Nike Air Zoom Pegasus,Running Shoes,129.99,4.7,45,Lightweight running shoes with responsive cushioning for daily training
P002,Adidas Ultraboost 22,Running Shoes,189.99,4.8,32,Premium running shoes with boost technology for maximum energy return
P003,New Balance Fresh Foam,Running Shoes,119.99,4.5,0,Cushioned running shoes for comfort and support
P004,Brooks Ghost 15,Running Shoes,139.99,4.9,78,Neutral running shoes with smooth transitions
P005,ASICS Gel-Kayano,Running Shoes,159.99,4.6,23,Stability running shoes for overpronators
P006,Lululemon Yoga Mat 5mm,Yoga,68.00,4.8,56,Professional-grade yoga mat with superior grip
P007,Manduka Pro Yoga Mat,Yoga,120.00,4.9,34,High-density yoga mat for studio use
P008,Gaiam Yoga Mat Basic,Yoga,24.99,3.2,8,Entry-level yoga mat for beginners
P009,Jade Harmony Yoga Mat,Yoga,79.95,4.7,0,Natural rubber yoga mat with excellent traction
P010,Yoga Blocks Set,Yoga,16.99,4.4,120,Cork yoga blocks for support and alignment
P011,MacBook Pro 14" M3,Laptops,1999.00,4.9,15,Professional laptop with M3 chip and 16GB RAM
P012,MacBook Air 13" M2,Laptops,1199.00,4.8,42,Lightweight laptop perfect for everyday use
P013,Dell XPS 13,Laptops,1299.00,4.6,28,Premium Windows laptop with InfinityEdge display
P014,Lenovo ThinkPad X1,Laptops,1499.00,4.7,0,Business laptop with legendary keyboard
P015,HP Pavilion 15,Laptops,699.00,3.8,65,Budget-friendly laptop for basic tasks
P016,USB-C Charger 65W,Electronics,34.99,4.5,0,Universal laptop charger with fast charging
P017,USB-C Charger 100W,Electronics,49.99,4.7,89,High-power charger for laptops and tablets
P018,MagSafe Charger 67W,Electronics,59.99,4.8,34,Apple-compatible fast charger
P019,Anker PowerPort,Electronics,29.99,3.1,12,Multi-port USB charger
P020,Belkin USB-C Cable,Electronics,19.99,4.3,156,Durable charging cable 6ft length
P021,Sony WH-1000XM5,Headphones,399.99,4.9,67,Premium noise-cancelling headphones
P022,Bose QuietComfort 45,Headphones,329.00,4.8,45,Comfortable noise-cancelling headphones
P023,Apple AirPods Pro 2,Headphones,249.00,4.7,0,True wireless earbuds with ANC
P024,JBL Tune 510BT,Headphones,49.99,4.2,134,Budget wireless headphones
P025,Beats Studio3,Headphones,349.95,4.4,23,Wireless headphones with Apple W1 chip
P026,Patagonia Down Jacket,Outerwear,279.00,4.9,34,Warm down jacket for cold weather
P027,North Face Fleece,Outerwear,99.00,4.6,67,Comfortable fleece for layering
P028,Columbia Rain Jacket,Outerwear,89.99,4.5,0,Waterproof jacket for rainy days
P029,Arc'teryx Shell,Outerwear,449.00,4.8,12,Premium technical shell jacket
